2023-12-16 18:10:00,309 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:10:00,377 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:12:58,420 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:12:58,862 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:12:59,045 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,066 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,081 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,098 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,111 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,132 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
